NO,"NO SURAT MASUK","NOMOR SURAT",TANGGAL,PERIHAL,"TERIMA DARI",ISI,"TANGGAL DITERUSKAN",CATATAN,KATEGORI,"TANGGAL PELAKSANAAN","WAKTU PELAKSANAAN","TEMPAT PELAKSANAAN"
11,1798,010.Apr/2023,,2023-02-23,"pemberitahuan kegiatan","PT. Shopee International Indonesia","pemberitahuan kegiatan ""Dari Pesantren Untuk Pesantren"" & pelaksanaan pekerjaan bongkar muat barang beserta properti kegiatan",05-Apr-23,"Fasilitasi (P Untung; P Danu)",Pemberitahuan,06-Apr-23,"15.00 - 17.00","Pantry Gedung Gumarang"
12,1797,009.Apr/2023,0420/4/SMK.AB/IV/2023,2023-04-04,"Permohonan kunjungan industri","SMKS Al-Wahhab Kradenan","Kunjungan Industri 59 Siswa 10 Guru Pendamping pada 4 Juli 2023",04-Apr-23,"Fasilitasi (M. Eva/M.Budi)",Permohonan,04-Jul-23,,
13,1796,008.Apr/2023,"497/PK.03.03/SMK N 1 LMS.KCD.IX.IV/2023",2023-04-04,"Permohonan kunjungan industri","SMK N 1 LEMAHSUGIH","Permohonan kunjungan industri",04-Apr-23,"Fasilitasi membuat surat balasan (m.Budi&M.Eva)",Permohonan,,,
14,1795,007.Apr/2023,395/GEO-FISIPOL/ADM/III/2023,2023-03-27,"Company Visit Singapore Management University","Falkutas Ilmu Sosial dan Ilmu Politik","Permohonan Company Visit ke Solotehnopark Pada hari kamis tanggal 15 juni 2023",04-Apr-23,"Diterima Pejabat Juli ini (Bpk.Christian,Bpk. Danu) di buat surat balasan Bu.Ani",Permohonan,15-Juni-23,,
15,1794,006.Apr/2023,B-248/Dep.4.2/WU.01.00/III/2023,2023-03-31,"Sosialisasi kerjasama SME Support Japan 2023-2023","KEMENKOP UKM","Sosialisasi kerjasama SME Support Japan 2023-2023",03-Apr-23,"pilih start up nya, diminta ikut (P Danu)",Undangan,03-Apr-23,"13.30 - Selesai","Zoom Meeting"
16,1793,005.Apr/2023,26/02.4/SP/IV/2023,2023-04-03,"Penawaran Greeting Pelantikan Rektor Baru UNS","PT. Aksara SOLOPOS","Penawaran Greeting Pelantikan Rektor Baru UNS",03-Apr-23,"Tidak Jadi Dilantik",,,,
17,1792,004.Apr/2023,099/JA-Intermedia/IV/2023,2023-04-01,"Greeting Ucapan Selamat Idul Fitri 1444 H","Solopos & Suara Merdeka","Greeting Ucapan Selamat Idul Fitri 1444 H",03-Apr-23,"Ambil Solo Pos Alternatif 1",,,,
18,1791,003.Apr/2023,01/IV/AIBI2023,2023-04-01,"Rapat Anggota Tahunan AIBI",AIBI,"Undangan Pertemuan Hybreed Zoom Meeting Rapat Anggota Tahunan AIBI",03-Apr-23,"Sudah Di Hadiri",Undangan,,,
19,1790,002.Apr/2023,B-412/11.8.5/MR.06.00/3/2023,2023-03-31,"Pemberitahuan penyelenggaraan bimbingan teknis","Badan Riset dan Inovasi Nasional","Pemberitahuan penyelenggaraan bimbingan teknis",03-Apr-23,"Hadiri (B Ani ; Mhs MSIB)",Pemberitahuan,"12 - 13 Apr 2023",,
20,1789,001.Apr/2023,422/061.5/101.6.18.14/2023,2023-02-20,"Permohonan kunjungan industri","SMKN 1 Geneng Ngawi","Permohonan kunjungan industri",03-Apr-23,"Fasilitasi (P Budi)",Permohonan,13-Jun-23,"09.00 - Selesai",
21,1788,088.Mar/2023,"/SMK PGRI-1 KDR/HUMAS/SKA4/III/2023",2023-03-28,"Permohonan kunjungan Universitas","SMK PGRI 1 KEDIRI","Permohonan Tempat junjungan Universitas pada tanggal 26 Juni 2023 PKL.09.00 Berjumlah 262 Perserta",31-Mar-23,"Fasilitasi ( Dibagi menjadi beberapa kelompok dalam satu hari M.Budi&M.Eva)",Kunjungan,26-Jun-23,,
22,1787,087.Mar/2023,005/870/III/2023,2023-03-31,undangan,BALITBANGDA,"Undangan rapat pendampingan III (Tahap Development - Progress Pengadaan bahan/material/peralatan pengembangan prototype penyusunan RAB dan rencana kegiatan",31-Mar-23,"saya hadir. Nuwun",Undangan,04-Apr-23,"09.00 - Selesai","Ruang Rapat Balitbangda"
23,1786,086.Mar/2023,RP.02.08/1412/2023,2023-03-29,"Workshop pengisian aplikasi e-Sakip kota Surakarta",Setda,"Workshop pengisian aplikasi e-Sakip kota Surakarta",31-Mar-23,"Ka.Subag TU mohon hadir, untuk bahan-bahan bisa berkoordinasi dengan Mbak Sari (Balitbangda), Nuwun",Permohonan,"05 - 06 April 2023","09.00 - Selesai","Ruang Rapat Manganti Praja Komplek Balai Kota Surakarta"
24,1785,085.Mar/2023,002/IKL-RS/III/2023,2023-03-20,"Ucapan Idul Fitri 1444 H/2023","Jawa Pos Radar Solo","Ucapan Idul Fitri 1444 H/2023",30-Mar-23,"Ambil yang tipe B (Rp. 555.000) P. Untung",Permohonan,,,
25,1784,084.Mar/2023,420/025/2023,2023-03-29,"Permohonan Praktek kerja lapangan","SMKN 2 Surakarta","Permohonan Praktek kerja lapangan",29-Mar-23,"Fasilitasi (Surat Balasan), dimasukkan ke bagian IT Bp Eko (P Budi; P Eko)",Permohonan,"10 Jul - 23 Des 23",,
26,1783,083.Mar/2023,,2023-03-29,"Test Drive kandidat driver shopee xpress","Shopee Xpress","Test Drive kandidat driver shopee xpress",29-Mar-23,"Fasilitasi (P Untung; P Danu)",Permohonan,"01 - 02 April 2023","09.00 - 16.00","Area Solo Technopark"
27,1782,082.Mar/2023,395/GEO-FISIPOL/ADM/III/2023,2023-03-27,"Company Visit Singapore Management University",UGM,"Permohonan company visit ke Solo Technopark dengan jumlah partisipan 39 orang",29-Mar-23,"Konfirmasi (B Ani)",Kunjungan,17-Juni-23,,
28,1781,080.Mar/2023,005/PH/B/PORTAKA/HIMATIKA/III/2023,2023-03-23,"Permohonan Peminjaman Tempat",UNS,"Permohonan Peminjaman Tempat untuk kegiatan Pekan Olahraga Antarangkatan Matematika (PORTAKA)",29-Mar-23,"Tolong diatur jadwalnya koordinasi dengan P Tegar & P danu (P Susilo)",Permohonan,"02 - 06 Apr 2023","16.00 - 18.00","Lapangan Basket Solo Technopark"
29,1780,078.Mar/2023,A.015/LIGASOLO-UM/II/2023,2023-03-18,"Permohonan Penggunaan Tempat","Liga Bola Basket Solo","Permohonan Penggunaan Tempat",28-Mar-23,"sudah dibuat surat balasan (B Ani; P Tegar)",Permohonan,,,
30,1779,077.Mar/2023,KWU.02/44/D.IV.M.EKON.2/03/2023,2023-03-27,Undangan,Kemenkop,"undangan pembahasan konsep/konten booth FEKDI 2023",28-Mar-23,"Hadiri (P Yudit; P Susilo; P Danu; P Christ)",Undangan,29-Mar-23,"13.30 - Selesai","Zoom Meeting"
31,1778,076.Mar/2023,,2023-03-27,"Permohonan Kerjasama","Superskin Beauty Clinic","permohonan kerjasama",27-Mar-23,"bagikan brosur",Permohonan,,,
32,1777,075.Mar/2023,"421.5/590/SMK N 1 WP/III/2023",2023-03-27,"Permohonan Kunjungan","SMK Negeri 1 Way Panji","Permohonan Kunjungan",27-Mar-23,"Fasilitasi (M.Buel, M. Era, M.Ani) Buat Balasan",Permohonan,,,
33,1776,073.Mar/2023,005/147,2023-03-24,"Undangan Rakor Kelembagaan Inkubator","Badan Perencanaan Pembangunan, Penelitian dan Pengembangan Daerah","Undangan Rakor Kelembagaan Inkubator",27-Mar-23,"1. Ka.Divisi Inkubator mohon hadir bersama pemimpin BLUD ; 2. Mba Lusi tolong buatkan surat tugas dan mas Danu serta SPPDnya setelah jadi tolong kasih mas Agus untuk proses. Nuwun (P Yudit)",,,,
34,1775,072.Mar/2023,KU.01.03/1338/2023,2023-03-24,"Surat Edaran","Walikota Surakarta","Pembatasan kegiatan keluar daerah dan kegiatan di Hotel pada satuan kerja perangkat daerah dan unit satuan kerja perangkat daerah lingkungan pemerintah kota surakarta tahun 2023",27-Mar-23,"Ka.Subag TU mohon dipedomani dan diinfokan ke pejabat pengelola dan pengelola keuangan KST. Nuwun",Edaran,,,
35,1774,071.Mar/2023,,2023-03-24,"Pemberitahuan pendaftaran program Nurture To Scale (Program pengembangan) untuk perusahaan startup berbasis teknologi","British Embassy Jakarta","Pemberitahuan pendaftaran program Nurture To Scale (Program pengembangan) untuk perusahaan startup berbasis teknologi",27-Mar-23,"Seleksi dan kirimkan peserta",Pemberitahuan,"16 Mar - 21 Apr 2023",,
36,1773,070.Mar/2023,B/KWU.6.2/S.19/D.IV.M.EKON.1/03/2023,2023-03-21,"Permohonan pengisi showcase/exhibition Booth","KEMENKO Perekonomian","Permohonan pengisi showcase/exhibition booth dalam acara festival ekonomi keuangan digital indonesia (FEKDI) 2023",27-Mar-23,"1. Disiapkan tim dan materi pameran; 2. siapkan RAB (Detail) (P Christ; P Danu)",Permohonan,"09 - 13 Mei 2023",,"Jakarta Convention Center (JCC)"
37,1772,069.Mar/2023,005/839/2023,2023-03-24,Undangan,"Balitbangda Surakarta","Undangan rapat pendampingan II (Penyusunan RAB dan Rencana Kegiatan KST untuk pengembangan Prototype I)",24-Mar-23,"Saya Hadir. Nuwun",Undangan,28-Mar-23,"10.00 - Selesai","Ruang rapat Balitbangda"
38,1771,068.Mar/2023,KD.01.03/1319/2023,2023-03-24,"SE Usulan Rencana Kebutuhan BMD dan Rencana Kebutuhan Pemeliharaan BMD TA 2023","BPKAD SKA","SE Usulan Rencana Kebutuhan BMD dan Rencana Kebutuhan Pemeliharaan BMD TA 2023",24-Mar-23,"Ka. TU mohon dipedomani dan menugaskan pengurus barang untuk menindaklanjuti. Nuwun","Surat Edaran",,,
39,1770,067.Mar/2023,070/093/II/2023,2023-02-08,"Izin Penelitian","UNISRI/Rekomendasi BALITBANGDA","Izin Penelitian",24-Mar-23,"Kepada Ka. Div Incubator Bisnis (P Danu) mohon dibantu fasilitasi. Nuwun",Permohonan,"9 Feb - 31 Mar 2023",,
40,1769,066.Mar/2023,89/UN27.06.3.1/PM.03/2023,2023-03-24,"Permohonan pemateri/pelatih","Fakultas Kedokteran UNS","Permohonan pemateri/pelatih untuk workdhop pengembangan produk kreatifitas dan penalaran mahasiswa",24-Mar-23,"Fasilitasi, Arsipkan (B Ani)",Permohonan,31-Mar-23,"13.00 - 15.00","Ruang Auditorium Gedung Pendidikan Dokter Fakultas Kedokteran UNS"
41,1768,065.Mar/2023,207/R3/AD/2023,2023-03-20,"Koordinasi Proker dan Sosialisasi Incubator Bisnis",UNISRI,"Koordinasi Proker dan Sosialisasi Incubator Bisnis",24-Mar-23,"Fasilitasi, Hadiri (P danu)",Undangan,24-Mar-23,13.00,"Ruang Seminar Gedung B Lantai 3 (Ruang Sidang Baru)"
42,1767,064.Mar/2023,KP.00/1314/2023,2023-03-21,"SE Penetapan Jam kerja Pegawai Aparatur Sipil Negara pada Bulan Ramadhan 1444 H Tahun 2023 di Lingkungan Pemerintah Kota Surakarta","Setda Surakarta","SE Penetapan Jam kerja Pegawai Aparatur Sipil Negara pada Bulan Ramadhan 1444 H Tahun 2023 di Lingkungan Pemerintah Kota Surakarta",21-Mar-23,"Divisi HRD mohon dipedomani dan disesuaikan dengan jam kerja yang ada di KST STP seperti tahun-tahun sebelumnya. Nuwun",,,,
43,1766,063.Mar/2023,110/UN27.21.3.8/PK.01.06/2023,2023-03-21,"Permohonan Magang","Sekolah Vokasi UNS","Permohonan kegiatan magang mahasiswa",21-Mar-23,"Fasilitasi, Tempatkan di Pelayanan (P Chris)",Permohonan,"24 Maret - 26 Mei 2023",,
44,1765,062.Mar/2023,09/CKK-SP/III/2023,2023-03-20,"Permohonan Kerjasama","CERGAS KONSULTAN","Permohonan Kerjasama",21-Mar-23,"Jajaki kemungkinan-kemungkinan kerjasama dengan inkubator bisnis (P Danu)",Permohonan,,,
45,1764,061.Mar/2023,184/UN27.05/PT.01.01/2023,2023-03-20,"Permohonan Mengajukan Kerja Sama Public Relation","FISIP UNS","Permohonan pemenuhan tugas mata kuliah Public Relation 2 periode hingga Juli",21-Mar-23,"Fasilitasi (P Susilo), Tanyakan waktunya (B Ani)",Permohonan,,,
46,1763,059.Mar/2023,,2023-03-20,"Mutasi Citra Pradnya Paramitha","Politeknik ATMI Surakarta","Mutasi pemindahan tempat kerja karyawan",20-Mar-23,"Urus administrasi, materi personal (P Lusi)",Permohonan,,,
47,1762,058.Mar/2023,1024/UN27.04/KM.05.02/2023,2023-03-16,"Undangan FGD - Business Gathering bersama Regulator dan Industri","FEB UNS","Undangan FGD - Business Gathering bersama Regulator dan Industri",20-Mar-23,"Hadiri (P Chris)",Undangan,21-Mar-23,07.30,"Gd. Soedara Soepono Lantai 5 FEB UNS"
48,1761,057.Mar/2023,005/827/III/2023,2023-03-17,"Undangan Rapat Pendampingan I (Analisa Produk, Rencana Pengembangan Prototype & Penjelasan Penyusunan RAB)",,,,,,,,
49,1760,056.Mar/2023,03.112/PL8/TE/DT/2023,2023-03-08,"Permohonan Kunjungan Industri","Politeknik Negeri Bali","Permohonan Kunjungan Industri",17-Mar-23,"Fasilitasi, buat surat balasan tulis di agenda (P Budi ; B Ani)",Permohonan,11-Jul-23,14.00,KST
50,1759,055.Mar/2023,411/K/D-E/III/2023,2023-03-06,"Penarikan siswa PKL Tahap 1 dan Permohonan Tempat PKL Tahap 2","SMK Kristen 1 Surakarta","Penarikan siswa PKL Tahap 1 dan Permohonan Tempat PKL Tahap 2",16-Mar-23,"Fasilitasi (P Budi)",Permohonan,16-Mar-23,,
51,1758,054.Mar/2023,005/790/III/2023,2023-03-14,"Undangan Rapat Pembahasan Laporan Pendahuluan Kajian Evaluasi Penilaian BLUD UPT Kawasan Sains dan Teknologi","Balitbangda Surakarta","Undangan Rapat Pembahasan Laporan Pendahuluan Kajian Evaluasi Penilaian BLUD UPT Kawasan Sains dan Teknologi",16-Mar-23,"Saya hadir. Nuwun",Undangan,17-Mar-23,08.30,"Ruang Rapat Balitbangda"
52,1757,053.Mar/2023,009/KBTK-SRT/III/2023,2023-03-15,"Surat Kunjungan","KB-TK Widyatama","Surat Kunjungan",16-Mar-23,"Fasilitasi (B Ani)",Permohonan,20-Mar-23,08.30,SSC
53,1756,052.Mar/2023,,2023-03-08,"Surat Pemberitahuan Peminjaman Fasilitas Outdoor dan Area Mabar Garena","PT Shopee International Indonesia","Surat Pemberitahuan Peminjaman Fasilitas Outdoor dan Area Mabar Garena",16-Mar-23,"Fasilitasi (P Untung ; P Danang)",Pemberitahuan,16-Mar-23,08.00-12.00,"Outdoor STC & Mabar Garena"
54,1755,051.Mar/2023,KU.01.03/1230/2023,2023-03-15,"Usulan Refocusing Anggaran APBD Tahun Anggaran 2023","Setda Surakarta","Usulan Refocusing Anggaran APBD Tahun Anggaran 2023",15-Mar-23,"Ka. TU mohon dicek kembali hasil pergeseran dan refocusing senin tgl 13 kemarin. Penyampaian soft file ke BPKAD paling lambat kamis 16 maret 2023. Nuwun",Pemberitahuan,,,
55,1754,050.Mar/2023,KA.01.03/1136.1/2023,2023-03-09,"Undangan Workshop Aplikasi SIJALAK KOAR dalam rangka inputing data dukung PEKPPP","Setda Surakarta","Undangan Workshop Aplikasi SIJALAK KOAR dalam rangka inputing data dukung PEKPPP",15-Mar-23,"Ka. TU mohon tugaskan PIC ybs. Nuwun",Undangan,"20 s.d 21-Mar-23",08.30,"Harris Hotel & Convention"
56,1753,049.Mar/2023,005/705/2023,2023-03-06,"Undangan Pemaparan Laporan Pendahuluan Kajian Digitalisasi IKM dan UKM","Balitbangda Surakarta","Undangan Pemaparan Laporan Pendahuluan Kajian Digitalisasi IKM dan UKM",14-Mar-23,"Ka. TU mohon hadir. Nuwun",Undangan,16-Mar-23,09.30,"Ruang Rapat Balitbangda"
57,1752,048.Mar/2023,933/BP.03.00/III/2023,2023-03-10,"Undangan FGD Penyusunan Rekomendasi PEL/FEDEP","Badan Perencanaan Pembangunan Daerah","Undangan FGD Penyusunan Rekomendasi PEL/FEDEP",14-Mar-23,"Yth Pemimpin BLUD UPTD KST. Nuwun",Undangan,16-Mar-23,09.00,"Sala View Hotel"
58,1751,047.Mar/2023,421.6/044/MITTQUM/III/2023,2023-03-14,"Permohonan Outing Class",MITTQUM,"Permohonan Outing Class",14-Mar-23,"Sudah difasilitasi (B Ani)",Permohonan,15-Mar-23,10.30,KST
59,1750,046.Mar/2023,914/FEB-UNIKU/KNG/LL/2023,2023-03-13,"Permohonan Kunjungan","FEB Universitas Kuningan","Permohonan Kunjungan Kamis, 16 Maret 2023; 09.00;215 orang",14-Mar-23,"Fasilitasi (P Danu)",Kunjungan,16-Mar-23,09.00,
60,1749,045.Mar/2023,197/PKL/HUBIN/III/2023,2023-03-13,"Permohonan Tempat PKL","SMK Leonardo Klaten","Permohonan Tempat PKL selama 6 bulan",13-Mar-23,"Fasilitasi (P Chris ; Mba Dhika)",Permohonan,"15 Juni - 15 Desember 2023",,
61,1748,044.Mar/2023,005/786/III/2023,2023-03-09,"Undangan Forum Konsultasi Publik ""Pelayanan Publik"" Balitbangda Tahun 2023","Balitbangda Surakarta","Undangan Forum Konsultasi Publik ""Pelayanan Publik"" Balitbangda Tahun 2023",13-Mar-23,"Saya hadir. Nuwun",Undangan,15-Mar-23,09.00,"Swiss-BelHotel Solo"
62,1747,043.Mar/2023,005/785/III/2023,2023-03-13,"Undangan Pembahasan Laporan Pendahuluan Analisis Kebijakan tentang Relevansi Kebijakan Perencanaan Pembangunan Daerah dengan Rangkaian Kegiatan Riset Pemerintah","Balitbangda Surakarta","Undangan Pembahasan Laporan Pendahuluan Analisis Kebijakan tentang Relevansi Kebijakan Perencanaan Pembangunan Daerah dengan Rangkaian Kegiatan Riset Pemerintah",13-Mar-23,"Saya hadir. Nuwun",Undangan,14-Mar-23,14.00,"Ruang Rapat Balitbangda"
63,1746,042.Mar/2023,005/801/III/2023,2023-03-08,"Undangan Forum Konsultasi Publik ""Pelayanan Publik"" Balitbangda Tahun 2023","Balitbangda Surakarta","Undangan Forum Konsultasi Publik ""Pelayanan Publik"" Balitbangda Tahun 2023",13-Mar-23,"Saya hadir. Nuwun",Undangan,15-Mar-23,09.00,"Swiss-BelHotel Solo"
64,1745,041.Mar/2023,421/129/SMK.01/2023,2023-03-09,"Penyerahan Siswa PKL","SMKN 1 Surakarta","Penyerahan Siswa PKL",13-Mar-23,"Diterima, tanyakan jumlah siswa & jurusannya (B Ani)",Permohonan,"13 Maret - 13 Juni 2023",,
65,1744,040.Mar/2023,B/333/BPSDMI/AKOM-Surakarta/RT/III/2023,2023-03-08,"Revisi Surat Permohonan Bantuan Petugas Keamanan",BPSDMI,"Revisi Surat Permohonan Bantuan Petugas Keamanan (Total 20 Personel)",13-Mar-23,"Beri tambahan personil (P Untung)",Permohonan,"14 - 16 Maret 2023",,
66,1743,039.Mar/2023,KT.00/763,2023-03-10,Undangan,"Dinas Tenaga Kerja","Undangan Pelatihan Barbershop Dinas Tenaga Kerja",13-Mar-23,"Sudah lewat, arsipkan",Undangan,14-Mar-23,09.00,"Hotel Sahid Jaya"
67,1742,038.Mar/2023,,2023-03-10,Undangan,Xegara,"Undangan Seminar Xegara ""Sustainable Prosperity with Xegara NFT""",10-Mar-23,"Sudah dihadiri (P Danu)",Undangan,13-Mar-23,"08.00 - 13.30","Ballroom The Sunan Hotel"
68,1741,037.Mar/2023,DG/972/III/2023,2023-03-09,"Bantuan Informasi Data (Kunjungan)","Dinas Perdagangan","Bantuan Informasi Data (Kunjungan)",10-Mar-23,"Ka. TU mohon koordinasikan dgn PIC di surat, kira-kira rundown kunjungan seperti apa dan data yg dibutuhkan apa saja, tolong bantu menyiapkan. Nuwun",Kunjungan,"14 s.d 15-Mar-23",,
69,1740,036.Mar/2023,TM.00.07/089/III/2023,2023-03-09,"Undangan Bimtek Pengelolaan Keuangan Daerah Tahun 2023",BPKAD,"Undangan Bimtek Pengelolaan Keuangan Daerah Tahun 2023",10-Mar-23,"Ka subag TU mohon tugaskan bendahara peng. Pembantu dan tlg siapkan surat tugasnya. Nuwun",Undangan,"13 s.d 14-Mar-23",09.00,"Hotel Swiss Belinn Saripetojo"
70,1739,035.Mar/2023,0133/UP-DKN4/SB/III/2023,2023-03-08,"Permohonan Izin Wawancara dan Pengambilan Data Penelitian","Universitas Pertamina","Permohonan Izin Wawancara dan Pengambilan Data Penelitian",09-Mar-23,"Fasilitasi (Mas Okta)",Permohonan,"15-Mar-23 s.d 10-Apr-23",,
71,1738,034.Mar/2023,005/762/2023,2023-03-08,"Undangan Seleksi Presentasi Kegiatan Hilirisasi Riset Perguruan Tinggi Tahun 2023","Balitbangda Surakarta","Undangan Seleksi Presentasi Kegiatan Hilirisasi Riset Perguruan Tinggi Tahun 2023",09-Mar-23,"Saya hadir. Nuwun",Undangan,14-Mar-23,09.30,"Ruang Rapat Balitbangda"
72,1737,033.Mar/2023,B/331/BPSDMI/AKOM-Surakarta/RT/III/2023,2023-03-07,"Permohonan Bantuan Petugas Keamanan",BPSDMI,"Permohonan Bantuan Petugas Keamanan",09-Mar-23,"Bagian umum fasilitasi (P Untung)",Permohonan,"14-Mar-23 s.d 16-Mar-23",terlampir,"AK Tekstil"
73,1736,032.Mar/2023,KT.00/734,2023-03-09,"Undangan Penutupan Pelatihan Barista Dinas Tenaga Kerja","Dinas Tenaga Kerja","Undangan Penutupan Pelatihan Barista Dinas Tenaga Kerja",09-Mar-23,"Hadiri (P Budi)",Undangan,09-Mar-23,16.00,"Hotel Solia Zigna"
74,1735,031.Mar/2023,,2023-02-08,"Permohonan Sponsorship HUT Ke-33","SMA Negeri 1 Mojolaban","Permohonan Sponsorship HUT Ke-33",09-Mar-23,"Bagian kerjasama & inkubator dipelajari (P Danu & P Susilo)",Permohonan,,,
75,1734,030.Mar/2023,55/D.2-III/TA/III/2023,2023-03-06,"Permohonan izin penelitian/survey/mencari data tugas studio perancangan arsitektur 4","FT UMS","Permohonan izin penelitian/survey/mencari data tugas studio perancangan arsitektur 4",09-Mar-23,"Fasilitasi, tanyakan waktunya (P Susilo;P Danang; B Ani)",Permohonan,,,
76,1733,029.Mar/2023,324.1/SMPWW.1/B.24/III/2023,2023-03-06,"Permohonan Izin Outing Class","SMP Widya Wacana 1 Surakarta","Permohonan Izin Outing Class",09-Mar-23,"Fasilitasi ( B Ani)",Permohonan,17-Mar-23,"08.00 - 11.00",KST
77,1732,028.Mar/2023,"02/TK IDOLA/III/2023",2023-03-02,"Permohonan Kunjungan","TK Idola Shiraathal Mustaqim","Permohonan Kunjungan",08-Mar-23,"Fasilitasi ( B Ani)",Permohonan,14-Mar-23,08.30,SSC
78,1731,027.Mar/2023,369/E.13/SMKKM/III/2023,2023-03-06,"Permohonan Peminjaman Tempat","SMK Katolik ST. Mikael Surakarta","Permohonan Peminjaman Tempat",08-Mar-23,"Fasilitasi (P Chris)",Permohonan,"09-Mar-23 dan 13-Mar-23",08.00,
79,1730,026.Mar/2023,SRT-0026/SKKIC3000/2023/SO,2023-03-06,"Undangan Meeting Pembahasan Program Pembelajaran dan Pengembangan Pekerja Hulu Migas Periode Tahun 2023","SKK Migas","Undangan Meeting Pembahasan Program Pembelajaran dan Pengembangan Pekerja Hulu Migas Periode Tahun 2023",08-Mar-23,"Hadiri (P Chris ; P Tegar)",Undangan,14-Mar-23,08.00,"Hotel Alila Solo"
80,1729,025.Mar/2023,1579/UN27.21/PK.01.06/2023,2023-02-15,"Permohonan Kuliah Magang Mahasiswa","Sekolah Vokasi UNS","Permohonan Kuliah Magang Mahasiswa",08-Mar-23,"Fasilitas/buat balasan (P Danu ; B Ani)",Permohonan,"Feb-23 s.d Mar-23",,
81,1728,024.Mar/2023,005/706/III/2023,2023-03-06,"Undangan Rapat Koordinasi dan Briefing Kegiatan Penyusunan Kerja","Balitbangda Surakarta","Undangan Rapat Koordinasi dan Briefing Kegiatan Penyusunan Kerja",08-Mar-23,"Saya hadir. Nuwun",Undangan,08-Mar-23,12.30,"Ruang Rapat Balitbangda"
